,quality
566,6
567,6
568,6
569,6
570,6
571,6
572,5
573,4
574,6
575,6
576,4
577,5
578,5
579,6
580,5
581,5
582,5
583,7
584,7
585,6
586,7
587,5
588,8
589,7
590,5
591,6
592,5
593,5
594,5
595,5
596,6
597,6
598,6
599,6
600,4
601,6
602,5
603,6
604,6
605,6
606,7
607,6
608,6
609,6
610,5
611,5
612,6
613,5
614,6
615,5
616,5
617,6
618,5
619,5
620,5
621,5
622,5
623,6
624,5
625,5
626,5
627,5
628,6
629,5
630,6
631,5
632,6
633,4
634,5
635,5
636,5
637,5
638,7
639,6
640,5
641,5
642,5
643,5
644,5
645,7
646,5
647,4
648,7
649,6
650,5
651,5
652,5
653,6
654,5
655,5
656,5
657,7
658,6
659,4
660,6
661,5
662,6
663,6
664,5
665,5
666,6
667,6
668,5
669,6
670,5
671,5
672,5
673,5
674,6
675,5
676,6
677,5
678,5
679,5
680,5
681,6
682,5
683,5
684,5
685,5
686,5
687,5
688,5
689,5
690,3
691,5
692,5
693,5
694,5
695,6
696,6
697,6
698,5
699,6
700,6
701,6
702,6
703,4
704,4
705,5
706,5
707,5
708,6
709,6
710,5
711,5
712,5
713,5
714,5
715,6
716,5
717,5
718,5
719,5
720,5
721,5
722,5
723,5
724,4
725,5
726,6
727,5
728,5
729,6
730,5
731,5
732,5
733,5
734,5
735,5
736,5
737,6
738,5
739,5
740,6
741,5
742,5
743,5
744,5
745,6
746,6
747,5
748,6
749,6
750,5
751,5
752,5
753,5
754,6
755,6
756,6
757,5
758,5
759,5
760,5
761,5
762,6
763,5
764,6
765,6
766,5
767,5
768,6
769,5
770,6
771,5
772,5
773,6
774,6
775,5
776,6
777,6
778,5
779,5
780,6
781,5
782,5
783,5
784,5
785,5
786,5
787,6
788,6
789,5
790,6
791,5
792,6
793,5
794,6
795,5
796,5
797,7
798,6
799,6
800,5
801,5
802,7
803,6
804,6
805,7
806,7
807,7
808,5
809,6
810,5
811,6
812,5
813,4
814,6
815,5
816,6
817,6
818,5
819,5
820,5
821,7
822,5
823,5
824,5
825,5
826,7
827,5
828,8
829,6
830,4
831,6
832,3
833,4
834,5
835,5
836,7
837,7
838,7
839,5
840,7
841,5
842,6
843,5
844,6
845,5
846,5
847,6
848,5
849,5
850,5
851,5
852,5
853,6
854,6
855,7
856,6
857,7
858,7
859,6
860,5
861,6
862,5
863,5
864,5
865,5
866,6
867,6
868,6
869,6
870,6
871,5
872,4
873,7
874,7
875,7
876,4
877,6
878,6
879,5
880,5
881,6
882,6
883,5
884,6
885,5
886,6
887,7
888,6
889,5
890,5
891,5
892,6
893,5
894,6
895,6
896,7
897,6
898,7
899,3
900,5
901,7
902,7
903,7
904,7
905,5
906,5
907,6
908,6
909,6
910,6
911,6
912,6
913,7
914,6
915,6
916,5
917,6
918,6
919,6
920,5
921,6
922,6
923,6
924,5
925,7
926,6
927,4
928,5
929,7
930,5
931,5
932,6
933,5
934,5
935,6
936,6
937,4
938,7
939,5
940,7
941,7
942,7
943,7
944,7
945,7
946,7
947,7
948,7
949,7
950,7
951,7
952,7
953,7
954,6
955,5
956,6
957,6
958,7
959,5
960,6
961,5
962,5
963,6
964,6
965,6
966,7
967,5
968,6
969,5
970,6
971,6
972,7
973,5
974,7
975,5
976,5
977,5
978,7
979,5
980,6
981,5
982,6
983,6
984,5
985,6
986,7
987,5
988,5
989,6
990,5
991,5
992,6
993,5
994,5
995,6
996,7
997,7
998,6
999,6
1000,7
1001,7
1002,7
1003,7
1004,5
1005,7
1006,7
1007,7
1008,7
1009,5
1010,7
1011,6
1012,5
1013,6
1014,6
1015,6
1016,7
1017,6
1018,6
1019,5
1020,6
1021,6
1022,5
1023,6
1024,7
1025,6
1026,6
1027,5
1028,6
1029,7
1030,7
1031,7
1032,5
1033,6
1034,6
1035,7
1036,7
1037,5
1038,7
1039,6
1040,5
1041,6
1042,6
1043,7
1044,6
1045,6
1046,6
1047,5
1048,6
1049,6
1050,5
1051,5
1052,5
1053,7
1054,6
1055,6
1056,7
1057,5
1058,7
1059,7
1060,6
1061,8
1062,6
1063,6
1064,6
1065,6
1066,7
1067,7
1068,7
1069,5
1070,7
1071,5
1072,6
1073,6
1074,5
1075,7
1076,6
1077,5
1078,5
1079,7
1080,6
1081,7
1082,6
1083,6
1084,6
1085,5
1086,7
1087,6
1088,7
1089,7
1090,8
1091,6
1092,6
1093,7
1094,6
1095,5
1096,6
1097,5
1098,7
1099,5
1100,6
1101,6
1102,6
1103,6
1104,6
1105,5
1106,6
1107,7
1108,5
1109,6
1110,6
1111,7
1112,6
1113,6
1114,6
1115,6
1116,6
1117,6
1118,6
1119,5
1120,8
1121,6
1122,6
1123,6
1124,4
1125,7
1126,6
1127,6
1128,5
1129,6
1130,6
1131,5
1132,7
1133,7
1134,7
1135,6
1136,6
1137,6
1138,5
1139,6
1140,6
1141,6
1142,6
1143,6
1144,5
1145,6
1146,6
1147,7
1148,6
1149,6
1150,7
1151,6
1152,5
1153,6
1154,6
1155,5
1156,7
1157,7
1158,6
1159,5
1160,7
1161,6
1162,7
1163,5
1164,5
1165,5
1166,5
1167,7
1168,6
1169,6
1170,6
1171,6
1172,6
1173,6
1174,6
1175,6
1176,4
1177,7
1178,5
1179,6
1180,6
1181,5
1182,6
1183,5
1184,5
1185,6
1186,5
1187,6
1188,5
1189,4
1190,6
1191,5
1192,7
1193,5
1194,6
1195,6
1196,6
1197,6
1198,6
1199,6
1200,6
1201,7
1202,8
1203,5
1204,7
1205,7
1206,7
1207,5
1208,7
1209,7
1210,6
1211,5
1212,6
1213,6
1214,6
1215,6
1216,6
1217,6
1218,6
1219,6
1220,6
1221,6
1222,6
1223,6
1224,6
1225,5
1226,5
1227,5
1228,7
1229,5
1230,6
1231,5
1232,5
1233,4
1234,6
1235,4
1236,6
1237,6
1238,4
1239,4
1240,5
1241,5
1242,6
1243,5
1244,6
1245,5
1246,5
1247,5
1248,6
1249,6
1250,6
1251,5
1252,5
1253,5
1254,5
1255,5
1256,5
1257,6
1258,6
1259,6
1260,5
1261,4
1262,5
1263,4
1264,6
1265,6
1266,6
1267,6
1268,6
1269,8
1270,6
1271,6
1272,5
1273,5
1274,6
1275,6
1276,4
1277,6
1278,6
1279,7
1280,6
1281,6
1282,6
1283,6
1284,5
1285,5
1286,6
1287,5
1288,5
1289,5
1290,5
1291,6
1292,6
1293,4
1294,6
1295,5
1296,5
1297,6
1298,6
1299,3
1300,6
1301,6
1302,6
1303,5
1304,5
1305,5
1306,5
1307,4
1308,5
1309,5
1310,5
1311,6
1312,5
1313,6
1314,6
1315,6
1316,6
1317,6
1318,6
1319,6
1320,5
1321,6
1322,5
1323,7
1324,6
1325,6
1326,6
1327,6
1328,5
1329,6
1330,6
1331,5
1332,6
1333,5
1334,5
1335,6
1336,5
1337,5
1338,5
1339,6
1340,6
1341,6
1342,6
1343,6
1344,5
1345,6
1346,5
1347,5
1348,5
1349,5
1350,5
1351,6
1352,5
1353,5
1354,5
1355,5
1356,5
1357,6
1358,5
1359,6
1360,5
1361,5
1362,6
1363,4
1364,6
1365,5
1366,5
1367,6
1368,6
1369,4
1370,5
1371,6
1372,5
1373,5
1374,3
1375,5
1376,5
1377,6
1378,6
1379,6
1380,6
1381,5
1382,5
1383,5
1384,5
1385,5
1386,5
1387,5
1388,5
1389,5
1390,6
1391,5
1392,5
1393,5
1394,5
1395,6
1396,5
1397,5
1398,7
1399,6
1400,5
1401,5
1402,6
1403,8
1404,6
1405,7
1406,6
1407,6
1408,7
1409,6
1410,6
1411,6
1412,6
1413,5
1414,5
1415,5
1416,5
1417,7
1418,5
1419,5
1420,5
1421,5
1422,6
1423,4
1424,6
1425,6
1426,6
1427,5
1428,5
1429,5
1430,5
1431,6
1432,6
1433,7
1434,6
1435,6
1436,5
1437,5
1438,5
1439,6
1440,7
1441,6
1442,5
1443,5
1444,6
1445,6
1446,5
1447,5
1448,5
1449,8
1450,7
1451,7
1452,7
1453,5
1454,6
1455,6
1456,6
1457,5
1458,5
1459,7
1460,6
1461,4
1462,6
1463,6
1464,5
1465,5
1466,7
1467,4
1468,7
1469,3
1470,5
1471,5
1472,6
1473,5
1474,5
1475,7
1476,5
1477,7
1478,3
1479,5
1480,4
1481,5
1482,4
1483,5
1484,4
1485,5
1486,5
1487,5
1488,5
1489,6
1490,6
1491,5
1492,5
1493,5
1494,7
1495,6
1496,5
1497,6
1498,6
1499,6
1500,5
1501,5
1502,5
1503,6
1504,6
1505,3
1506,6
1507,6
1508,6
1509,5
1510,6
1511,5
1512,6
1513,6
1514,6
1515,6
1516,5
1517,6
1518,5
1519,5
1520,6
1521,4
1522,5
1523,5
1524,6
1525,5
1526,6
1527,6
1528,6
1529,6
1530,6
1531,5
1532,6
1533,5
1534,7
1535,6
1536,6
1537,6
1538,5
1539,5
1540,6
1541,7
1542,6
1543,6
1544,7
1545,6
1546,5
1547,5
1548,5
1549,8
1550,5
1551,5
1552,6
1553,5
1554,6
1555,7
1556,5
1557,6
1558,5
1559,5
1560,5
1561,5
1562,5
1563,5
1564,5
1565,6
1566,6
1567,5
1568,5
1569,6
1570,6
1571,6
1572,5
1573,6
1574,6
1575,6
1576,6
1577,6
1578,6
1579,5
1580,6
1581,5
1582,5
1583,5
1584,7
1585,6
1586,6
1587,6
1588,6
1589,5
1590,6
1591,6
1592,6
1593,6
1594,5
1595,6
1596,6
1597,5
1598,6
1599,6
1600,6
1601,6
1602,6
1603,6
1604,6
1605,6
1606,6
1607,6
1608,6
1609,5
1610,5
1611,5
1612,7
1613,5
1614,7
1615,6
1616,8
1617,6
1618,5
1619,8
1620,7
1621,8
1622,5
1623,6
1624,6
1625,6
1626,6
1627,6
1628,7
1629,6
1630,6
1631,6
1632,6
1633,5
1634,5
1635,5
1636,6
1637,5
1638,5
1639,6
1640,6
1641,6
1642,6
1643,6
1644,7
1645,4
1646,5
1647,6
1648,5
1649,6
1650,7
1651,7
1652,6
1653,6
1654,6
1655,6
1656,6
1657,6
1658,6
1659,6
1660,6
1661,5
1662,6
1663,6
1664,5
1665,7
1666,5
1667,8
1668,5
1669,6
1670,5
1671,5
1672,6
1673,8
1674,5
1675,7
1676,7
1677,5
1678,5
1679,6
1680,6
1681,5
1682,6
1683,5
1684,6
1685,6
1686,6
1687,5
1688,6
1689,6
1690,5
1691,7
1692,7
1693,7
1694,6
1695,6
1696,7
1697,4
1698,6
1699,5
1700,5
1701,5
1702,5
1703,5
1704,6
1705,5
1706,6
1707,6
1708,5
1709,6
1710,5
1711,5
1712,5
1713,5
1714,4
1715,6
1716,6
1717,5
1718,5
1719,5
1720,5
1721,5
1722,6
1723,6
1724,6
1725,5
1726,7
1727,7
1728,6
1729,5
1730,7
1731,5
1732,5
1733,5
1734,5
1735,6
1736,5
1737,7
1738,6
1739,5
1740,5
1741,6
1742,6
1743,6
1744,6
1745,6
1746,4
1747,7
1748,6
1749,7
1750,6
1751,6
1752,5
1753,6
1754,6
1755,6
1756,7
1757,8
1758,8
1759,7
1760,5
1761,5
1762,6
1763,5
1764,5
1765,6
1766,7
1767,5
1768,5
1769,6
1770,6
1771,4
1772,7
1773,5
1774,6
1775,4
1776,5
1777,4
1778,6
1779,6
1780,5
1781,5
1782,6
1783,5
1784,5
1785,6
1786,5
1787,8
1788,4
1789,6
1790,5
1791,6
1792,5
1793,5
1794,6
1795,5
1796,5
1797,5
1798,5
1799,5
1800,5
1801,5
1802,6
1803,4
1804,5
1805,5
1806,4
1807,5
1808,6
1809,5
1810,7
1811,5
1812,6
1813,7
1814,5
1815,5
1816,5
1817,5
1818,5
1819,5
1820,6
1821,7
1822,6
1823,6
1824,5
1825,6
1826,6
1827,6
1828,5
1829,4
1830,6
1831,6
1832,6
1833,6
1834,6
1835,6
1836,6
1837,7
1838,6
1839,5
1840,5
1841,7
1842,6
1843,5
1844,6
1845,7
1846,7
1847,7
1848,5
1849,4
1850,3
1851,5
1852,3
1853,6
1854,8
1855,7
1856,7
1857,6
1858,4
1859,6
1860,5
1861,5
1862,6
1863,6
1864,5
1865,6
1866,5
1867,6
1868,6
1869,6
1870,5
1871,5
1872,5
1873,5
1874,6
1875,6
1876,5
1877,4
1878,7
1879,8
1880,8
1881,4
1882,5
1883,5
1884,5
1885,6
1886,7
1887,7
1888,7
1889,7
1890,6
1891,5
1892,7
1893,3
1894,6
1895,5
1896,7
1897,6
1898,6
1899,6
1900,6
1901,6
1902,6
1903,6
1904,6
1905,5
1906,6
1907,7
1908,6
1909,7
1910,8
1911,6
1912,6
1913,5
1914,6
1915,6
1916,5
1917,7
1918,6
1919,7
1920,5
1921,6
1922,6
1923,5
1924,5
1925,6
1926,6
1927,6
1928,5
1929,8
1930,5
1931,6
1932,5
1933,5
1934,6
1935,6
1936,6
1937,5
1938,7
1939,7
1940,6
1941,6
1942,5
1943,6
1944,6
1945,7
1946,6
1947,6
1948,5
1949,7
1950,7
1951,6
1952,7
1953,6
1954,6
1955,6
1956,6
1957,6
1958,6
1959,6
1960,5
1961,6
1962,6
1963,7
1964,7
1965,6
1966,6
1967,6
1968,5
1969,6
1970,6
1971,5
1972,6
1973,7
1974,7
1975,7
1976,7
1977,6
1978,7
1979,7
1980,6
1981,6
1982,6
1983,7
1984,7
1985,7
1986,5
1987,6
1988,7
1989,7
1990,5
1991,6
1992,6
1993,5
1994,5
1995,5
1996,6
1997,5
1998,6
1999,6
2000,5
2001,5
2002,5
2003,6
2004,5
2005,7
2006,5
2007,6
2008,5
2009,6
2010,6
2011,5
2012,5
2013,6
2014,6
2015,6
2016,5
2017,6
2018,6
2019,7
2020,6
2021,6
2022,6
2023,7
2024,6
2025,6
2026,5
2027,5
2028,5
2029,5
2030,5
2031,7
2032,4
2033,8
2034,7
2035,5
2036,8
2037,7
2038,5
2039,7
2040,6
2041,8
2042,6
2043,6
2044,3
2045,5
2046,6
2047,6
2048,7
2049,5
2050,5
2051,7
2052,7
2053,7
2054,6
2055,7
2056,5
2057,6
2058,5
2059,5
2060,5
2061,5
2062,6
2063,5
2064,5
2065,6
2066,6
2067,5
2068,5
2069,6
2070,5
2071,6
2072,7
2073,6
2074,5
2075,7
2076,6
2077,6
2078,6
2079,5
2080,6
2081,5
2082,5
2083,5
2084,6
2085,6
2086,6
2087,6
2088,6
2089,6
2090,7
2091,6
2092,6
2093,6
2094,6
2095,4
2096,6
2097,5
2098,4
2099,6
2100,6
2101,6
2102,5
2103,6
2104,6
2105,5
2106,7
2107,6
2108,7
2109,6
2110,6
2111,6
2112,6
2113,7
2114,6
2115,5
2116,6
2117,6
2118,5
2119,5
2120,5
2121,6
2122,6
2123,5
2124,6
2125,4
2126,6
2127,6
2128,6
2129,6
2130,5
2131,6
2132,6
2133,6
2134,5
2135,5
2136,6
2137,5
2138,6
2139,4
2140,5
2141,6
2142,6
2143,6
2144,6
2145,6
2146,6
2147,7
2148,5
2149,7
2150,7
2151,7
2152,7
2153,7
2154,7
2155,5
2156,6
2157,5
2158,6
2159,7
2160,5
2161,6
2162,7
2163,5
2164,6
2165,6
2166,5
2167,6
2168,6
2169,5
2170,7
2171,5
2172,7
2173,7
2174,6
2175,6
2176,7
2177,7
2178,7
2179,5
2180,5
2181,6
2182,6
2183,7
2184,6
2185,6
2186,7
2187,7
2188,6
2189,5
2190,6
2191,5
2192,5
2193,5
2194,7
2195,5
2196,6
2197,8
2198,7
2199,6
2200,6
2201,5
2202,5
2203,6
2204,6
2205,5
2206,5
2207,5
2208,6
2209,8
2210,6
2211,5
2212,5
2213,5
2214,5
2215,7
2216,6
2217,6
2218,6
2219,5
2220,5
2221,6
2222,5
2223,5
2224,8
2225,4
2226,6
2227,6
2228,6
2229,5
2230,5
2231,6
2232,5
2233,6
2234,6
2235,7
2236,5
2237,5
2238,5
2239,7
2240,4
2241,6
2242,5
2243,5
2244,5
2245,4
2246,6
2247,5
2248,7
2249,7
2250,7
2251,7
2252,6
2253,7
2254,6
2255,6
2256,5
2257,5
2258,4
2259,5
2260,7
2261,4
2262,5
2263,6
2264,5
2265,6
2266,6
2267,6
2268,5
2269,6
2270,6
2271,8
2272,6
2273,5
2274,6
2275,6
2276,7
2277,7
2278,7
2279,5
2280,5
2281,6
2282,5
2283,5
2284,5
2285,7
2286,4
2287,6
2288,7
2289,4
2290,6
2291,5
2292,5
2293,6
2294,5
2295,6
2296,5
2297,5
2298,5
2299,5
2300,7
2301,4
2302,6
2303,6
2304,5
2305,5
2306,6
2307,6
2308,5
2309,5
2310,6
2311,6
2312,5
2313,6
2314,7
2315,6
2316,5
2317,7
2318,7
2319,5
2320,5
2321,6
2322,8
2323,7
2324,5
2325,7
2326,5
2327,5
2328,5
2329,6
2330,6
2331,7
2332,6
2333,5
2334,6
2335,6
2336,5
2337,7
2338,6
2339,3
2340,6
2341,6
2342,5
2343,5
2344,6
2345,6
2346,6
2347,6
2348,6
2349,6
2350,6
2351,6
2352,6
2353,5
2354,7
2355,5
2356,6
2357,7
2358,7
2359,6
2360,6
2361,5
2362,6
2363,6
2364,6
2365,5
2366,6
2367,7
2368,7
2369,7
2370,7
2371,7
2372,5
2373,9
2374,6
2375,6
2376,5
2377,7
2378,8
2379,4
2380,6
2381,7
2382,8
2383,5
2384,6
2385,6
2386,6
2387,7
2388,6
2389,6
2390,7
2391,5
2392,7
2393,5
2394,5
2395,6
2396,6
2397,6
2398,8
2399,6
2400,5
2401,5
2402,7
2403,6
2404,6
2405,5
2406,6
2407,6
2408,6
2409,5
2410,6
2411,7
2412,6
2413,6
2414,5
2415,5
2416,5
2417,5
2418,5
2419,9
2420,6
2421,5
2422,6
2423,5
2424,6
2425,6
2426,9
2427,7
2428,7
2429,6
2430,4
2431,8
2432,6
2433,6
2434,8
2435,8
2436,8
2437,8
2438,7
2439,7
2440,7
2441,7
2442,7
2443,8
2444,8
2445,5
2446,5
2447,7
2448,6
2449,7
2450,5
2451,7
2452,5
2453,7
2454,7
2455,5
2456,5
2457,7
2458,5
2459,8
2460,7
2461,6
2462,6
2463,5
2464,6
2465,7
2466,8
2467,7
2468,6
2469,5
2470,5
2471,6
2472,3
2473,5
2474,7
2475,9
2476,6
2477,6
2478,8
2479,7
2480,6
2481,6
2482,6
2483,6
2484,7
2485,6
2486,7
2487,6
2488,7
2489,6
2490,7
2491,5
2492,7
2493,7
2494,6
2495,6
2496,6
2497,6
2498,6
2499,7
2500,6
2501,5
2502,6
2503,8
2504,4
2505,4
2506,8
2507,4
2508,5
2509,5
2510,5
2511,5
2512,5
2513,4
2514,5
2515,7
2516,6
2517,6
2518,7
2519,7
2520,6
2521,6
2522,6
2523,8
2524,5
2525,5
2526,7
2527,5
2528,5
2529,7
2530,5
2531,6
2532,5
2533,5
2534,5
2535,5
2536,5
2537,6
2538,7
2539,5
2540,6
2541,7
2542,7
2543,7
2544,7
2545,5
2546,5
2547,4
2548,5
2549,5
2550,6
2551,6
2552,5
2553,6
2554,5
2555,5
2556,7
2557,7
2558,6
2559,6
2560,7
2561,6
2562,6
2563,6
2564,5
2565,6
2566,6
2567,7
2568,7
2569,7
2570,7
2571,6
2572,7
2573,6
2574,5
2575,6
2576,5
2577,7
2578,5
2579,6
2580,7
2581,6
2582,6
2583,5
2584,6
2585,6
2586,6
2587,5
2588,7
2589,6
2590,4
2591,5
2592,4
2593,6
2594,6
2595,5
2596,6
2597,6
2598,7
2599,7
2600,5
2601,6
2602,7
2603,6
2604,6
2605,6
2606,5
2607,7
2608,6
2609,6
2610,7
2611,6
2612,5
2613,5
2614,5
2615,5
2616,6
2617,6
2618,6
2619,7
2620,7
2621,8
2622,6
2623,6
2624,6
2625,6
2626,4
2627,7
2628,4
2629,6
2630,6
2631,6
2632,6
2633,3
2634,6
2635,5
2636,5
2637,7
2638,5
2639,4
2640,5
2641,4
2642,5
2643,7
2644,5
2645,5
2646,5
2647,5
2648,6
2649,5
2650,6
2651,5
2652,4
2653,5
2654,5
2655,6
2656,5
2657,6
2658,4
2659,7
2660,5
2661,5
2662,5
2663,6
2664,5
2665,6
2666,7
2667,7
2668,6
2669,7
2670,5
2671,7
2672,5
2673,6
2674,7
2675,6
2676,5
2677,5
2678,6
2679,7
2680,6
2681,6
2682,6
2683,7
2684,5
2685,8
2686,8
2687,6
2688,7
2689,6
2690,6
2691,6
2692,7
2693,5
2694,8
2695,6
2696,7
2697,6
2698,7
2699,6
2700,6
2701,5
2702,5
2703,5
2704,7
2705,8
2706,7
2707,7
2708,4
2709,7
2710,6
2711,6
2712,5
2713,4
2714,8
2715,5
2716,5
2717,5
2718,5
2719,6
2720,6
2721,7
2722,5
2723,5
2724,6
2725,7
2726,7
2727,5
2728,7
2729,6
2730,6
2731,5
2732,5
2733,5
2734,6
2735,8
2736,8
2737,5
2738,5
2739,6
2740,5
2741,5
2742,5
2743,5
2744,5
2745,5
2746,5
2747,6
2748,5
2749,5
2750,5
2751,4
2752,6
2753,4
2754,4
2755,6
2756,6
2757,6
2758,6
2759,6
2760,6
2761,7
2762,6
2763,6
2764,5
2765,5
2766,6
2767,5
2768,6
2769,6
2770,5
2771,6
2772,5
2773,6
2774,5
2775,7
2776,6
2777,5
2778,5
2779,5
2780,6
2781,5
2782,6
2783,7
2784,5
2785,5
2786,8
2787,6
2788,5
2789,6
2790,7
2791,6
2792,7
2793,6
2794,6
2795,7
2796,7
2797,6
2798,7
2799,6
2800,7
2801,5
2802,6
2803,6
2804,5
2805,6
2806,5
2807,6
2808,6
2809,6
2810,5
2811,6
2812,6
2813,6
2814,5
2815,8
2816,5
2817,8
2818,8
2819,6
2820,7
2821,6
2822,5
2823,7
2824,6
2825,7
2826,5
2827,6
2828,3
2829,6
2830,7
2831,7
2832,6
2833,6
2834,5
2835,6
2836,5
2837,7
2838,5
2839,6
2840,7
2841,7
2842,7
2843,5
2844,4
2845,7
2846,6
2847,7
2848,5
2849,7
2850,5
2851,6
2852,7
2853,5
2854,6
2855,6
2856,6
2857,6
2858,6
2859,6
2860,6
2861,6
2862,6
2863,5
2864,7
2865,8
2866,7
2867,5
2868,6
2869,7
2870,5
2871,5
2872,5
2873,6
2874,6
2875,7
2876,5
2877,6
2878,6
2879,6
2880,7
2881,5
2882,8
2883,7
2884,6
2885,7
2886,7
2887,7
2888,6
2889,6
2890,6
2891,6
2892,4
2893,4
2894,6
2895,6
2896,7
2897,6
2898,5
2899,6
2900,5
2901,6
2902,6
2903,5
2904,7
2905,8
2906,5
2907,6
2908,6
2909,6
2910,6
2911,5
2912,5
2913,6
2914,6
2915,6
2916,5
2917,6
2918,5
2919,6
2920,6
2921,6
2922,5
2923,6
2924,7
2925,6
2926,6
2927,6
2928,5
2929,5
2930,6
2931,7
2932,8
2933,6
2934,6
2935,8
2936,5
2937,5
2938,6
2939,6
2940,5
2941,6
2942,6
2943,8
2944,8
2945,7
2946,7
2947,8
2948,4
2949,7
2950,7
2951,6
2952,5
2953,5
2954,5
2955,6
2956,6
2957,8
2958,7
2959,6
2960,7
2961,7
2962,4
2963,5
2964,7
2965,6
2966,5
2967,6
2968,5
2969,6
2970,7
2971,6
2972,6
2973,7
2974,7
2975,6
2976,6
2977,7
2978,6
2979,7
2980,7
2981,6
2982,6
2983,6
2984,5
2985,7
2986,6
2987,7
2988,6
2989,6
2990,6
2991,6
2992,6
2993,7
2994,7
2995,7
2996,7
2997,7
